"","year","state","county","category","type","rate","unit","age","race","gender","fips","income"
"1438","2018","GA","harris","Cardiovascular Diseases","All stroke",280.3,"per 100,000","Ages 65 years and older","Overall","Overall","13145",48849
"1439","2013","GA","harris","Cardiovascular Diseases","All stroke",254.9,"per 100,000","Ages 65 years and older","Overall","Overall","13145",40652
"1440","2011","GA","harris","Cardiovascular Diseases","All stroke",270.4,"per 100,000","Ages 65 years and older","Overall","Overall","13145",38838
"1441","2010","GA","harris","Cardiovascular Diseases","All stroke",298,"per 100,000","Ages 65 years and older","Overall","Overall","13145",36499
"1442","2012","GA","harris","Cardiovascular Diseases","All stroke",258.6,"per 100,000","Ages 65 years and older","Overall","Overall","13145",39939
"1443","2013","GA","hart","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall","13147",31269
"1444","2014","GA","hart","Cardiovascular Diseases","All stroke",27.1,"per 100,000","Ages 35-64 years","Overall","Overall","13147",33182
"1445","2019","GA","hart","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13147",39262
"1446","2017","GA","hart","Cardiovascular Diseases","All stroke",26.7,"per 100,000","Ages 35-64 years","Overall","Overall","13147",36807
"1447","2016","GA","hart","Cardiovascular Diseases","All stroke",27.8,"per 100,000","Ages 35-64 years","Overall","Overall","13147",34683
"1448","2015","GA","hart","Cardiovascular Diseases","All stroke",28.4,"per 100,000","Ages 35-64 years","Overall","Overall","13147",34747
"1449","2011","GA","hart","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall","13147",28654
"1450","2018","GA","hart","Cardiovascular Diseases","All stroke",26,"per 100,000","Ages 35-64 years","Overall","Overall","13147",38493
"1451","2016","GA","hart","Cardiovascular Diseases","All stroke",343.8,"per 100,000","Ages 65 years and older","Overall","Overall","13147",34683
"1452","2014","GA","hart","Cardiovascular Diseases","All stroke",341.6,"per 100,000","Ages 65 years and older","Overall","Overall","13147",33182
"1453","2015","GA","hart","Cardiovascular Diseases","All stroke",356.3,"per 100,000","Ages 65 years and older","Overall","Overall","13147",34747
"1454","2017","GA","hart","Cardiovascular Diseases","All stroke",333.2,"per 100,000","Ages 65 years and older","Overall","Overall","13147",36807
"1455","2019","GA","hart","Cardiovascular Diseases","All stroke",283,"per 100,000","Ages 65 years and older","Overall","Overall","13147",39262
"1456","2018","GA","hart","Cardiovascular Diseases","All stroke",315.5,"per 100,000","Ages 65 years and older","Overall","Overall","13147",38493
"1457","2013","GA","hart","Cardiovascular Diseases","All stroke",354.8,"per 100,000","Ages 65 years and older","Overall","Overall","13147",31269
"1458","2011","GA","hart","Cardiovascular Diseases","All stroke",360.4,"per 100,000","Ages 65 years and older","Overall","Overall","13147",28654
"1459","2010","GA","hart","Cardiovascular Diseases","All stroke",376.2,"per 100,000","Ages 65 years and older","Overall","Overall","13147",28286
"1460","2012","GA","hart","Cardiovascular Diseases","All stroke",356.9,"per 100,000","Ages 65 years and older","Overall","Overall","13147",30418
"1461","2013","GA","heard","Cardiovascular Diseases","All stroke",16.1,"per 100,000","Ages 35-64 years","Overall","Overall","13149",26846
"1462","2014","GA","heard","Cardiovascular Diseases","All stroke",16.8,"per 100,000","Ages 35-64 years","Overall","Overall","13149",28464
"1463","2019","GA","heard","Cardiovascular Diseases","All stroke",16.2,"per 100,000","Ages 35-64 years","Overall","Overall","13149",33872
"1464","2017","GA","heard","Cardiovascular Diseases","All stroke",16,"per 100,000","Ages 35-64 years","Overall","Overall","13149",31345
"1465","2016","GA","heard","Cardiovascular Diseases","All stroke",16.3,"per 100,000","Ages 35-64 years","Overall","Overall","13149",30283
"1466","2015","GA","heard","Cardiovascular Diseases","All stroke",17,"per 100,000","Ages 35-64 years","Overall","Overall","13149",29385
"1467","2011","GA","heard","Cardiovascular Diseases","All stroke",16.4,"per 100,000","Ages 35-64 years","Overall","Overall","13149",25572
"1468","2018","GA","heard","Cardiovascular Diseases","All stroke",16.1,"per 100,000","Ages 35-64 years","Overall","Overall","13149",32468
"1469","2012","GA","heard","Cardiovascular Diseases","All stroke",15.9,"per 100,000","Ages 35-64 years","Overall","Overall","13149",26744
"1470","2010","GA","heard","Cardiovascular Diseases","All stroke",16.9,"per 100,000","Ages 35-64 years","Overall","Overall","13149",24409
"1471","2016","GA","heard","Cardiovascular Diseases","All stroke",297.2,"per 100,000","Ages 65 years and older","Overall","Overall","13149",30283
"1472","2014","GA","heard","Cardiovascular Diseases","All stroke",296,"per 100,000","Ages 65 years and older","Overall","Overall","13149",28464
"1473","2015","GA","heard","Cardiovascular Diseases","All stroke",314.9,"per 100,000","Ages 65 years and older","Overall","Overall","13149",29385
"1474","2017","GA","heard","Cardiovascular Diseases","All stroke",302.7,"per 100,000","Ages 65 years and older","Overall","Overall","13149",31345
"1475","2019","GA","heard","Cardiovascular Diseases","All stroke",294.4,"per 100,000","Ages 65 years and older","Overall","Overall","13149",33872
"1476","2018","GA","heard","Cardiovascular Diseases","All stroke",305.1,"per 100,000","Ages 65 years and older","Overall","Overall","13149",32468
"1477","2013","GA","heard","Cardiovascular Diseases","All stroke",284.5,"per 100,000","Ages 65 years and older","Overall","Overall","13149",26846
"1478","2011","GA","heard","Cardiovascular Diseases","All stroke",303.1,"per 100,000","Ages 65 years and older","Overall","Overall","13149",25572
"1479","2010","GA","heard","Cardiovascular Diseases","All stroke",314.7,"per 100,000","Ages 65 years and older","Overall","Overall","13149",24409
"1480","2012","GA","heard","Cardiovascular Diseases","All stroke",287.6,"per 100,000","Ages 65 years and older","Overall","Overall","13149",26744
"1481","2013","GA","henry","Cardiovascular Diseases","All stroke",16.1,"per 100,000","Ages 35-64 years","Overall","Overall","13151",33503
"1482","2014","GA","henry","Cardiovascular Diseases","All stroke",16.3,"per 100,000","Ages 35-64 years","Overall","Overall","13151",34477
"1483","2019","GA","henry","Cardiovascular Diseases","All stroke",15.8,"per 100,000","Ages 35-64 years","Overall","Overall","13151",39910
"1484","2017","GA","henry","Cardiovascular Diseases","All stroke",16.3,"per 100,000","Ages 35-64 years","Overall","Overall","13151",37984
"1485","2016","GA","henry","Cardiovascular Diseases","All stroke",16.1,"per 100,000","Ages 35-64 years","Overall","Overall","13151",37162
"1486","2015","GA","henry","Cardiovascular Diseases","All stroke",16.7,"per 100,000","Ages 35-64 years","Overall","Overall","13151",36068
"1487","2011","GA","henry","Cardiovascular Diseases","All stroke",16.1,"per 100,000","Ages 35-64 years","Overall","Overall","13151",32450
"1488","2018","GA","henry","Cardiovascular Diseases","All stroke",15.4,"per 100,000","Ages 35-64 years","Overall","Overall","13151",39134
"1489","2012","GA","henry","Cardiovascular Diseases","All stroke",15.6,"per 100,000","Ages 35-64 years","Overall","Overall","13151",32550
"1490","2010","GA","henry","Cardiovascular Diseases","All stroke",16.9,"per 100,000","Ages 35-64 years","Overall","Overall","13151",30973
"1491","2016","GA","henry","Cardiovascular Diseases","All stroke",328.6,"per 100,000","Ages 65 years and older","Overall","Overall","13151",37162
"1492","2014","GA","henry","Cardiovascular Diseases","All stroke",301.5,"per 100,000","Ages 65 years and older","Overall","Overall","13151",34477
"1493","2015","GA","henry","Cardiovascular Diseases","All stroke",342,"per 100,000","Ages 65 years and older","Overall","Overall","13151",36068
"1494","2017","GA","henry","Cardiovascular Diseases","All stroke",342.1,"per 100,000","Ages 65 years and older","Overall","Overall","13151",37984
"1495","2019","GA","henry","Cardiovascular Diseases","All stroke",326.5,"per 100,000","Ages 65 years and older","Overall","Overall","13151",39910
"1496","2018","GA","henry","Cardiovascular Diseases","All stroke",357.7,"per 100,000","Ages 65 years and older","Overall","Overall","13151",39134
"1497","2013","GA","henry","Cardiovascular Diseases","All stroke",272.6,"per 100,000","Ages 65 years and older","Overall","Overall","13151",33503
"1498","2011","GA","henry","Cardiovascular Diseases","All stroke",263.5,"per 100,000","Ages 65 years and older","Overall","Overall","13151",32450
"1499","2010","GA","henry","Cardiovascular Diseases","All stroke",270,"per 100,000","Ages 65 years and older","Overall","Overall","13151",30973
"1500","2012","GA","henry","Cardiovascular Diseases","All stroke",258.2,"per 100,000","Ages 65 years and older","Overall","Overall","13151",32550
"1501","2013","GA","houston","Cardiovascular Diseases","All stroke",19.2,"per 100,000","Ages 35-64 years","Overall","Overall","13153",36912
"1502","2014","GA","houston","Cardiovascular Diseases","All stroke",19.5,"per 100,000","Ages 35-64 years","Overall","Overall","13153",37956
"1503","2019","GA","houston","Cardiovascular Diseases","All stroke",19.4,"per 100,000","Ages 35-64 years","Overall","Overall","13153",43165
"1504","2017","GA","houston","Cardiovascular Diseases","All stroke",19.7,"per 100,000","Ages 35-64 years","Overall","Overall","13153",40718
"1505","2016","GA","houston","Cardiovascular Diseases","All stroke",18.9,"per 100,000","Ages 35-64 years","Overall","Overall","13153",39651
"1506","2015","GA","houston","Cardiovascular Diseases","All stroke",19.8,"per 100,000","Ages 35-64 years","Overall","Overall","13153",39461
"1507","2011","GA","houston","Cardiovascular Diseases","All stroke",18.9,"per 100,000","Ages 35-64 years","Overall","Overall","13153",37148
"1508","2018","GA","houston","Cardiovascular Diseases","All stroke",19.2,"per 100,000","Ages 35-64 years","Overall","Overall","13153",41839
"1509","2012","GA","houston","Cardiovascular Diseases","All stroke",19,"per 100,000","Ages 35-64 years","Overall","Overall","13153",37123
"1510","2010","GA","houston","Cardiovascular Diseases","All stroke",20,"per 100,000","Ages 35-64 years","Overall","Overall","13153",35965
"1511","2016","GA","houston","Cardiovascular Diseases","All stroke",277.2,"per 100,000","Ages 65 years and older","Overall","Overall","13153",39651
"1512","2014","GA","houston","Cardiovascular Diseases","All stroke",297.8,"per 100,000","Ages 65 years and older","Overall","Overall","13153",37956
"1513","2015","GA","houston","Cardiovascular Diseases","All stroke",309.7,"per 100,000","Ages 65 years and older","Overall","Overall","13153",39461
"1514","2017","GA","houston","Cardiovascular Diseases","All stroke",269.5,"per 100,000","Ages 65 years and older","Overall","Overall","13153",40718
"1515","2019","GA","houston","Cardiovascular Diseases","All stroke",266.5,"per 100,000","Ages 65 years and older","Overall","Overall","13153",43165
"1516","2018","GA","houston","Cardiovascular Diseases","All stroke",281.6,"per 100,000","Ages 65 years and older","Overall","Overall","13153",41839
"1517","2013","GA","houston","Cardiovascular Diseases","All stroke",291.8,"per 100,000","Ages 65 years and older","Overall","Overall","13153",36912
"1518","2011","GA","houston","Cardiovascular Diseases","All stroke",317.2,"per 100,000","Ages 65 years and older","Overall","Overall","13153",37148
"1519","2010","GA","houston","Cardiovascular Diseases","All stroke",338.8,"per 100,000","Ages 65 years and older","Overall","Overall","13153",35965
"1520","2012","GA","houston","Cardiovascular Diseases","All stroke",298.7,"per 100,000","Ages 65 years and older","Overall","Overall","13153",37123
"1521","2013","GA","irwin","Cardiovascular Diseases","All stroke",23,"per 100,000","Ages 35-64 years","Overall","Overall","13155",27802
"1522","2014","GA","irwin","Cardiovascular Diseases","All stroke",23.9,"per 100,000","Ages 35-64 years","Overall","Overall","13155",26740
"1523","2019","GA","irwin","Cardiovascular Diseases","All stroke",24,"per 100,000","Ages 35-64 years","Overall","Overall","13155",34392
"1524","2017","GA","irwin","Cardiovascular Diseases","All stroke",25,"per 100,000","Ages 35-64 years","Overall","Overall","13155",31340
"1525","2016","GA","irwin","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13155",29520
"1526","2015","GA","irwin","Cardiovascular Diseases","All stroke",25.8,"per 100,000","Ages 35-64 years","Overall","Overall","13155",30361
"1527","2011","GA","irwin","Cardiovascular Diseases","All stroke",23.2,"per 100,000","Ages 35-64 years","Overall","Overall","13155",29360
"1528","2018","GA","irwin","Cardiovascular Diseases","All stroke",24.1,"per 100,000","Ages 35-64 years","Overall","Overall","13155",32248
"1529","2012","GA","irwin","Cardiovascular Diseases","All stroke",24.2,"per 100,000","Ages 35-64 years","Overall","Overall","13155",27525
"1530","2010","GA","irwin","Cardiovascular Diseases","All stroke",23.8,"per 100,000","Ages 35-64 years","Overall","Overall","13155",26045
"1531","2016","GA","irwin","Cardiovascular Diseases","All stroke",280.5,"per 100,000","Ages 65 years and older","Overall","Overall","13155",29520
"1532","2014","GA","irwin","Cardiovascular Diseases","All stroke",285.2,"per 100,000","Ages 65 years and older","Overall","Overall","13155",26740
"1533","2015","GA","irwin","Cardiovascular Diseases","All stroke",288.4,"per 100,000","Ages 65 years and older","Overall","Overall","13155",30361
"1534","2017","GA","irwin","Cardiovascular Diseases","All stroke",285.1,"per 100,000","Ages 65 years and older","Overall","Overall","13155",31340
"1535","2019","GA","irwin","Cardiovascular Diseases","All stroke",272.5,"per 100,000","Ages 65 years and older","Overall","Overall","13155",34392
"1536","2018","GA","irwin","Cardiovascular Diseases","All stroke",284,"per 100,000","Ages 65 years and older","Overall","Overall","13155",32248
"1537","2013","GA","irwin","Cardiovascular Diseases","All stroke",255.4,"per 100,000","Ages 65 years and older","Overall","Overall","13155",27802
"1538","2011","GA","irwin","Cardiovascular Diseases","All stroke",266.8,"per 100,000","Ages 65 years and older","Overall","Overall","13155",29360
"1539","2010","GA","irwin","Cardiovascular Diseases","All stroke",280.2,"per 100,000","Ages 65 years and older","Overall","Overall","13155",26045
"1540","2012","GA","irwin","Cardiovascular Diseases","All stroke",257.8,"per 100,000","Ages 65 years and older","Overall","Overall","13155",27525
"1541","2013","GA","jackson","Cardiovascular Diseases","All stroke",19.4,"per 100,000","Ages 35-64 years","Overall","Overall","13157",33492
"1542","2014","GA","jackson","Cardiovascular Diseases","All stroke",21,"per 100,000","Ages 35-64 years","Overall","Overall","13157",34885
"1543","2019","GA","jackson","Cardiovascular Diseases","All stroke",20.7,"per 100,000","Ages 35-64 years","Overall","Overall","13157",43894
"1544","2017","GA","jackson","Cardiovascular Diseases","All stroke",20.3,"per 100,000","Ages 35-64 years","Overall","Overall","13157",41149
"1545","2016","GA","jackson","Cardiovascular Diseases","All stroke",20.5,"per 100,000","Ages 35-64 years","Overall","Overall","13157",39624
"1546","2015","GA","jackson","Cardiovascular Diseases","All stroke",21.6,"per 100,000","Ages 35-64 years","Overall","Overall","13157",36845
"1547","2011","GA","jackson","Cardiovascular Diseases","All stroke",19.5,"per 100,000","Ages 35-64 years","Overall","Overall","13157",30531
"1548","2018","GA","jackson","Cardiovascular Diseases","All stroke",20,"per 100,000","Ages 35-64 years","Overall","Overall","13157",42869
"1549","2012","GA","jackson","Cardiovascular Diseases","All stroke",19.4,"per 100,000","Ages 35-64 years","Overall","Overall","13157",32490
"1550","2010","GA","jackson","Cardiovascular Diseases","All stroke",20.6,"per 100,000","Ages 35-64 years","Overall","Overall","13157",29305
"1551","2016","GA","jackson","Cardiovascular Diseases","All stroke",379.4,"per 100,000","Ages 65 years and older","Overall","Overall","13157",39624
"1552","2014","GA","jackson","Cardiovascular Diseases","All stroke",349,"per 100,000","Ages 65 years and older","Overall","Overall","13157",34885
"1553","2015","GA","jackson","Cardiovascular Diseases","All stroke",390.2,"per 100,000","Ages 65 years and older","Overall","Overall","13157",36845
"1554","2017","GA","jackson","Cardiovascular Diseases","All stroke",368.9,"per 100,000","Ages 65 years and older","Overall","Overall","13157",41149
"1555","2019","GA","jackson","Cardiovascular Diseases","All stroke",332.5,"per 100,000","Ages 65 years and older","Overall","Overall","13157",43894
"1556","2018","GA","jackson","Cardiovascular Diseases","All stroke",363.5,"per 100,000","Ages 65 years and older","Overall","Overall","13157",42869
"1557","2013","GA","jackson","Cardiovascular Diseases","All stroke",353.2,"per 100,000","Ages 65 years and older","Overall","Overall","13157",33492
"1558","2011","GA","jackson","Cardiovascular Diseases","All stroke",360.5,"per 100,000","Ages 65 years and older","Overall","Overall","13157",30531
"1559","2010","GA","jackson","Cardiovascular Diseases","All stroke",369.6,"per 100,000","Ages 65 years and older","Overall","Overall","13157",29305
"1560","2012","GA","jackson","Cardiovascular Diseases","All stroke",357.5,"per 100,000","Ages 65 years and older","Overall","Overall","13157",32490
"1561","2013","GA","jasper","Cardiovascular Diseases","All stroke",24,"per 100,000","Ages 35-64 years","Overall","Overall","13159",30430
"1562","2014","GA","jasper","Cardiovascular Diseases","All stroke",25.3,"per 100,000","Ages 35-64 years","Overall","Overall","13159",32591
"1563","2019","GA","jasper","Cardiovascular Diseases","All stroke",22.6,"per 100,000","Ages 35-64 years","Overall","Overall","13159",39331
"1564","2017","GA","jasper","Cardiovascular Diseases","All stroke",23.6,"per 100,000","Ages 35-64 years","Overall","Overall","13159",38875
"1565","2016","GA","jasper","Cardiovascular Diseases","All stroke",23.6,"per 100,000","Ages 35-64 years","Overall","Overall","13159",35473
"1566","2015","GA","jasper","Cardiovascular Diseases","All stroke",24.7,"per 100,000","Ages 35-64 years","Overall","Overall","13159",33751
"1567","2011","GA","jasper","Cardiovascular Diseases","All stroke",24.3,"per 100,000","Ages 35-64 years","Overall","Overall","13159",27734
"1568","2018","GA","jasper","Cardiovascular Diseases","All stroke",23.3,"per 100,000","Ages 35-64 years","Overall","Overall","13159",37253
"1569","2012","GA","jasper","Cardiovascular Diseases","All stroke",24.1,"per 100,000","Ages 35-64 years","Overall","Overall","13159",30423
"1570","2010","GA","jasper","Cardiovascular Diseases","All stroke",26.5,"per 100,000","Ages 35-64 years","Overall","Overall","13159",28200
"1571","2016","GA","jasper","Cardiovascular Diseases","All stroke",279.7,"per 100,000","Ages 65 years and older","Overall","Overall","13159",35473
"1572","2014","GA","jasper","Cardiovascular Diseases","All stroke",274,"per 100,000","Ages 65 years and older","Overall","Overall","13159",32591
"1573","2015","GA","jasper","Cardiovascular Diseases","All stroke",288.8,"per 100,000","Ages 65 years and older","Overall","Overall","13159",33751
"1574","2017","GA","jasper","Cardiovascular Diseases","All stroke",280.3,"per 100,000","Ages 65 years and older","Overall","Overall","13159",38875
"1575","2019","GA","jasper","Cardiovascular Diseases","All stroke",267.2,"per 100,000","Ages 65 years and older","Overall","Overall","13159",39331
"1576","2018","GA","jasper","Cardiovascular Diseases","All stroke",286.9,"per 100,000","Ages 65 years and older","Overall","Overall","13159",37253
"1577","2013","GA","jasper","Cardiovascular Diseases","All stroke",267.1,"per 100,000","Ages 65 years and older","Overall","Overall","13159",30430
"1578","2011","GA","jasper","Cardiovascular Diseases","All stroke",268.8,"per 100,000","Ages 65 years and older","Overall","Overall","13159",27734
"1579","2010","GA","jasper","Cardiovascular Diseases","All stroke",282.5,"per 100,000","Ages 65 years and older","Overall","Overall","13159",28200
"1580","2012","GA","jasper","Cardiovascular Diseases","All stroke",261.4,"per 100,000","Ages 65 years and older","Overall","Overall","13159",30423
"1581","2013","GA","jeff davis","Cardiovascular Diseases","All stroke",24.7,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28078
"1582","2014","GA","jeff davis","Cardiovascular Diseases","All stroke",25.9,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28616
"1583","2019","GA","jeff davis","Cardiovascular Diseases","All stroke",25.7,"per 100,000","Ages 35-64 years","Overall","Overall",NA,32980
"1584","2017","GA","jeff davis","Cardiovascular Diseases","All stroke",27.1,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28899
"1585","2016","GA","jeff davis","Cardiovascular Diseases","All stroke",26.5,"per 100,000","Ages 35-64 years","Overall","Overall",NA,28733
"1586","2015","GA","jeff davis","Cardiovascular Diseases","All stroke",26.8,"per 100,000","Ages 35-64 years","Overall","Overall",NA,29373
"1587","2011","GA","jeff davis","Cardiovascular Diseases","All stroke",24.2,"per 100,000","Ages 35-64 years","Overall","Overall",NA,26650
"1588","2018","GA","jeff davis","Cardiovascular Diseases","All stroke",26.1,"per 100,000","Ages 35-64 years","Overall","Overall",NA,30560
"1589","2012","GA","jeff davis","Cardiovascular Diseases","All stroke",24.7,"per 100,000","Ages 35-64 years","Overall","Overall",NA,27111
"1590","2010","GA","jeff davis","Cardiovascular Diseases","All stroke",25.1,"per 100,000","Ages 35-64 years","Overall","Overall",NA,24674
"1591","2016","GA","jeff davis","Cardiovascular Diseases","All stroke",352.3,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28733
"1592","2014","GA","jeff davis","Cardiovascular Diseases","All stroke",385.2,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28616
"1593","2015","GA","jeff davis","Cardiovascular Diseases","All stroke",379.4,"per 100,000","Ages 65 years and older","Overall","Overall",NA,29373
"1594","2017","GA","jeff davis","Cardiovascular Diseases","All stroke",337,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28899
"1595","2019","GA","jeff davis","Cardiovascular Diseases","All stroke",306.8,"per 100,000","Ages 65 years and older","Overall","Overall",NA,32980
"1596","2018","GA","jeff davis","Cardiovascular Diseases","All stroke",327.8,"per 100,000","Ages 65 years and older","Overall","Overall",NA,30560
"1597","2013","GA","jeff davis","Cardiovascular Diseases","All stroke",362.8,"per 100,000","Ages 65 years and older","Overall","Overall",NA,28078
"1598","2011","GA","jeff davis","Cardiovascular Diseases","All stroke",384.3,"per 100,000","Ages 65 years and older","Overall","Overall",NA,26650
"1599","2010","GA","jeff davis","Cardiovascular Diseases","All stroke",403.9,"per 100,000","Ages 65 years and older","Overall","Overall",NA,24674
"1600","2012","GA","jeff davis","Cardiovascular Diseases","All stroke",366.3,"per 100,000","Ages 65 years and older","Overall","Overall",NA,27111
"1601","2013","GA","jefferson","Cardiovascular Diseases","All stroke",29.7,"per 100,000","Ages 35-64 years","Overall","Overall","13163",28304
"1602","2014","GA","jefferson","Cardiovascular Diseases","All stroke",31,"per 100,000","Ages 35-64 years","Overall","Overall","13163",28181
"1603","2019","GA","jefferson","Cardiovascular Diseases","All stroke",27.8,"per 100,000","Ages 35-64 years","Overall","Overall","13163",34020
"1604","2017","GA","jefferson","Cardiovascular Diseases","All stroke",28.9,"per 100,000","Ages 35-64 years","Overall","Overall","13163",32174
"1605","2016","GA","jefferson","Cardiovascular Diseases","All stroke",28.9,"per 100,000","Ages 35-64 years","Overall","Overall","13163",30926
"1606","2015","GA","jefferson","Cardiovascular Diseases","All stroke",31.1,"per 100,000","Ages 35-64 years","Overall","Overall","13163",29604
"1607","2011","GA","jefferson","Cardiovascular Diseases","All stroke",30.2,"per 100,000","Ages 35-64 years","Overall","Overall","13163",27588
"1608","2018","GA","jefferson","Cardiovascular Diseases","All stroke",28.1,"per 100,000","Ages 35-64 years","Overall","Overall","13163",32056
"1609","2012","GA","jefferson","Cardiovascular Diseases","All stroke",31,"per 100,000","Ages 35-64 years","Overall","Overall","13163",27991
"1610","2010","GA","jefferson","Cardiovascular Diseases","All stroke",33.6,"per 100,000","Ages 35-64 years","Overall","Overall","13163",25887
"1611","2016","GA","jefferson","Cardiovascular Diseases","All stroke",297.7,"per 100,000","Ages 65 years and older","Overall","Overall","13163",30926
"1612","2014","GA","jefferson","Cardiovascular Diseases","All stroke",324,"per 100,000","Ages 65 years and older","Overall","Overall","13163",28181
"1613","2015","GA","jefferson","Cardiovascular Diseases","All stroke",316.4,"per 100,000","Ages 65 years and older","Overall","Overall","13163",29604
"1614","2017","GA","jefferson","Cardiovascular Diseases","All stroke",295.9,"per 100,000","Ages 65 years and older","Overall","Overall","13163",32174
"1615","2019","GA","jefferson","Cardiovascular Diseases","All stroke",281.1,"per 100,000","Ages 65 years and older","Overall","Overall","13163",34020
"1616","2018","GA","jefferson","Cardiovascular Diseases","All stroke",303.4,"per 100,000","Ages 65 years and older","Overall","Overall","13163",32056
"1617","2013","GA","jefferson","Cardiovascular Diseases","All stroke",318,"per 100,000","Ages 65 years and older","Overall","Overall","13163",28304
"1618","2011","GA","jefferson","Cardiovascular Diseases","All stroke",332.7,"per 100,000","Ages 65 years and older","Overall","Overall","13163",27588
"1619","2010","GA","jefferson","Cardiovascular Diseases","All stroke",360.4,"per 100,000","Ages 65 years and older","Overall","Overall","13163",25887
"1620","2012","GA","jefferson","Cardiovascular Diseases","All stroke",318.8,"per 100,000","Ages 65 years and older","Overall","Overall","13163",27991
"1621","2013","GA","jenkins","Cardiovascular Diseases","All stroke",32.8,"per 100,000","Ages 35-64 years","Overall","Overall","13165",25143
"1622","2014","GA","jenkins","Cardiovascular Diseases","All stroke",35.7,"per 100,000","Ages 35-64 years","Overall","Overall","13165",26003
"1623","2019","GA","jenkins","Cardiovascular Diseases","All stroke",32.5,"per 100,000","Ages 35-64 years","Overall","Overall","13165",30946
"1624","2017","GA","jenkins","Cardiovascular Diseases","All stroke",34.6,"per 100,000","Ages 35-64 years","Overall","Overall","13165",28679
"1625","2016","GA","jenkins","Cardiovascular Diseases","All stroke",36.3,"per 100,000","Ages 35-64 years","Overall","Overall","13165",29144
"1626","2015","GA","jenkins","Cardiovascular Diseases","All stroke",35.8,"per 100,000","Ages 35-64 years","Overall","Overall","13165",28246
"1627","2011","GA","jenkins","Cardiovascular Diseases","All stroke",31.9,"per 100,000","Ages 35-64 years","Overall","Overall","13165",27476
"1628","2018","GA","jenkins","Cardiovascular Diseases","All stroke",33.4,"per 100,000","Ages 35-64 years","Overall","Overall","13165",29028
"1629","2012","GA","jenkins","Cardiovascular Diseases","All stroke",32.1,"per 100,000","Ages 35-64 years","Overall","Overall","13165",24723
"1630","2010","GA","jenkins","Cardiovascular Diseases","All stroke",34.3,"per 100,000","Ages 35-64 years","Overall","Overall","13165",24908
"1631","2016","GA","jenkins","Cardiovascular Diseases","All stroke",323.3,"per 100,000","Ages 65 years and older","Overall","Overall","13165",29144
"1632","2014","GA","jenkins","Cardiovascular Diseases","All stroke",344.3,"per 100,000","Ages 65 years and older","Overall","Overall","13165",26003
"1633","2015","GA","jenkins","Cardiovascular Diseases","All stroke",334.1,"per 100,000","Ages 65 years and older","Overall","Overall","13165",28246
"1634","2017","GA","jenkins","Cardiovascular Diseases","All stroke",329.2,"per 100,000","Ages 65 years and older","Overall","Overall","13165",28679
"1635","2019","GA","jenkins","Cardiovascular Diseases","All stroke",290.7,"per 100,000","Ages 65 years and older","Overall","Overall","13165",30946
"1636","2018","GA","jenkins","Cardiovascular Diseases","All stroke",312.3,"per 100,000","Ages 65 years and older","Overall","Overall","13165",29028
"1637","2013","GA","jenkins","Cardiovascular Diseases","All stroke",336.9,"per 100,000","Ages 65 years and older","Overall","Overall","13165",25143
"1638","2011","GA","jenkins","Cardiovascular Diseases","All stroke",350.4,"per 100,000","Ages 65 years and older","Overall","Overall","13165",27476
"1639","2010","GA","jenkins","Cardiovascular Diseases","All stroke",374.3,"per 100,000","Ages 65 years and older","Overall","Overall","13165",24908
"1640","2012","GA","jenkins","Cardiovascular Diseases","All stroke",333.8,"per 100,000","Ages 65 years and older","Overall","Overall","13165",24723
"1641","2013","GA","johnson","Cardiovascular Diseases","All stroke",19.5,"per 100,000","Ages 35-64 years","Overall","Overall","13167",22302
"1642","2014","GA","johnson","Cardiovascular Diseases","All stroke",20.9,"per 100,000","Ages 35-64 years","Overall","Overall","13167",23123
"1643","2019","GA","johnson","Cardiovascular Diseases","All stroke",20.5,"per 100,000","Ages 35-64 years","Overall","Overall","13167",27166
"1644","2017","GA","johnson","Cardiovascular Diseases","All stroke",20.9,"per 100,000","Ages 35-64 years","Overall","Overall","13167",25138
"1645","2016","GA","johnson","Cardiovascular Diseases","All stroke",20.4,"per 100,000","Ages 35-64 years","Overall","Overall","13167",24609
"1646","2015","GA","johnson","Cardiovascular Diseases","All stroke",21.6,"per 100,000","Ages 35-64 years","Overall","Overall","13167",23772
"1647","2011","GA","johnson","Cardiovascular Diseases","All stroke",18.2,"per 100,000","Ages 35-64 years","Overall","Overall","13167",21572
"1648","2018","GA","johnson","Cardiovascular Diseases","All stroke",20.6,"per 100,000","Ages 35-64 years","Overall","Overall","13167",25939
"1649","2012","GA","johnson","Cardiovascular Diseases","All stroke",18.7,"per 100,000","Ages 35-64 years","Overall","Overall","13167",21789
